<<<15:31:28:646774>>>
* Screen coordinates (1447, 53) choosen in zone #3.
* Screen dimensions are 1600 wide by 900 high.
* Minimum (x, y) are (1333, 0).
* Maximum (x, y) are (1600, 150).
* Mid (x, y) are (1466, 75).
<<<15:31:28:646774>>>  Image at Pix\Faraway_Objects\Asteroids\4.png choosen for background...
<<<15:31:31:845870>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CCW...
<<<15:31:31:845870>>>  Tank #3 Yellow AI Tank is checking targeting info...
<<<15:31:31:845870>>>  Tank #3 Yellow AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:31:845870>>>  Tank #3 Yellow AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:31:845870>>>  Tank #3 Yellow AI Tank adjusted targeting angle one unit CW...
<<<15:31:31:862478>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:31:31:862478>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:31:862478>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:31:862478>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CCW...
<<<15:31:31:862478>>>  Tank #3 Yellow AI Tank is checking targeting info...
<<<15:31:31:862478>>>  Tank #3 Yellow AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:31:862478>>>  Tank #3 Yellow AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:31:862478>>>  Tank #3 Yellow AI Tank adjusted targeting angle one unit CW...
<<<15:31:31:879133>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:31:31:879133>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:31:879133>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:31:879133>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CCW...
<<<15:31:31:879133>>>  Tank #3 Yellow AI Tank is checking targeting info...
<<<15:31:31:879133>>>  Tank #3 Yellow AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:31:879133>>>  Tank #3 Yellow AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:31:879133>>>  Tank #3 Yellow AI Tank adjusted targeting angle one unit CW...
<<<15:31:31:894813>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:31:31:894813>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:31:894813>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:31:894813>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CCW...
<<<15:31:31:894813>>>  Tank #3 Yellow AI Tank is checking targeting info...
<<<15:31:31:894813>>>  Tank #3 Yellow AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:31:894813>>>  Tank #3 Yellow AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:31:894813>>>  Tank #3 Yellow AI Tank adjusted targeting angle one unit CW...
<<<15:31:31:910942>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:31:31:910942>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:31:910942>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:31:910942>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CCW...
<<<15:31:31:910942>>>  Tank #3 Yellow AI Tank is checking targeting info...
<<<15:31:31:910942>>>  Tank #3 Yellow AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:31:910942>>>  Tank #3 Yellow AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:31:910942>>>  Tank #3 Yellow AI Tank adjusted targeting angle one unit CW...
<<<15:31:31:926798>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:31:31:926798>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:31:926798>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:31:926798>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CCW...
<<<15:31:31:926798>>>  Tank #3 Yellow AI Tank is checking targeting info...
<<<15:31:31:926798>>>  Tank #3 Yellow AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:31:926798>>>  Tank #3 Yellow AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:31:926798>>>  Tank #3 Yellow AI Tank adjusted targeting angle one unit CW...
<<<15:31:31:942879>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:31:31:942879>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:31:942879>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:31:942879>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CCW...
<<<15:31:31:942879>>>  Tank #3 Yellow AI Tank is checking targeting info...
<<<15:31:31:942879>>>  Tank #3 Yellow AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:31:942879>>>  Tank #3 Yellow AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:31:942879>>>  Tank #3 Yellow AI Tank adjusted targeting angle one unit CW...
<<<15:31:31:959253>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:31:31:959253>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:31:959253>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:31:959253>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CCW...
<<<15:31:31:959253>>>  Tank #3 Yellow AI Tank is checking targeting info...
<<<15:31:31:959253>>>  Tank #3 Yellow AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:31:959253>>>  Tank #3 Yellow AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:31:959253>>>  Tank #3 Yellow AI Tank adjusted targeting angle one unit CW...
<<<15:31:31:975739>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:31:31:975739>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:31:975739>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:31:975739>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CCW...
<<<15:31:31:975739>>>  Tank #3 Yellow AI Tank is checking targeting info...
<<<15:31:31:975739>>>  Tank #3 Yellow AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:31:975739>>>  Tank #3 Yellow AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:31:975739>>>  Tank #3 Yellow AI Tank adjusted targeting angle one unit CW...
<<<15:31:31:992388>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:31:31:992388>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:31:992388>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:31:992388>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CCW...
<<<15:31:31:992388>>>  Tank #3 Yellow AI Tank is checking targeting info...
<<<15:31:31:992388>>>  Tank #3 Yellow AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:31:992388>>>  Tank #3 Yellow AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:31:992388>>>  Tank #3 Yellow AI Tank adjusted targeting angle one unit CW...
<<<15:31:32:009464>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:31:32:009464>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:32:009464>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:32:009464>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CCW...
<<<15:31:32:009464>>>  Tank #3 Yellow AI Tank is checking targeting info...
<<<15:31:32:009464>>>  Tank #3 Yellow AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:32:009464>>>  Tank #3 Yellow AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:32:009464>>>  Tank #3 Yellow AI Tank adjusted targeting angle one unit CW...
<<<15:31:32:025790>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:31:32:025790>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:32:025790>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:32:025790>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CCW...
<<<15:31:32:025790>>>  Tank #3 Yellow AI Tank is checking targeting info...
<<<15:31:32:025790>>>  Tank #3 Yellow AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:32:025790>>>  Tank #3 Yellow AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:32:025790>>>  Tank #3 Yellow AI Tank adjusted targeting angle one unit CW...
<<<15:31:32:041655>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:31:32:041655>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:32:041655>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:32:041655>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CCW...
<<<15:31:32:041655>>>  Tank #3 Yellow AI Tank is checking targeting info...
<<<15:31:32:041655>>>  Tank #3 Yellow AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:32:041655>>>  Tank #3 Yellow AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:32:041655>>>  Tank #3 Yellow AI Tank adjusted targeting angle one unit CW...
<<<15:31:32:058726>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:31:32:058726>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:32:058726>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:32:058726>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CCW...
<<<15:31:32:058726>>>  Tank #3 Yellow AI Tank is checking targeting info...
<<<15:31:32:058726>>>  Tank #3 Yellow AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:32:058726>>>  Tank #3 Yellow AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:32:058726>>>  Tank #3 Yellow AI Tank adjusted targeting angle one unit CW...
<<<15:31:32:074689>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:31:32:074689>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:32:074689>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:32:074689>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CCW...
<<<15:31:32:074689>>>  Tank #3 Yellow AI Tank is checking targeting info...
<<<15:31:32:074689>>>  Tank #3 Yellow AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:32:074689>>>  Tank #3 Yellow AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:32:074689>>>  Tank #3 Yellow AI Tank adjusted targeting angle one unit CW...
<<<15:31:32:092079>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:31:32:092079>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:32:092079>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:32:092079>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CCW...
<<<15:31:32:092079>>>  Tank #3 Yellow AI Tank is checking targeting info...
<<<15:31:32:092079>>>  Tank #3 Yellow AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:32:092079>>>  Tank #3 Yellow AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:32:092079>>>  Tank #3 Yellow AI Tank adjusted targeting angle one unit CW...
<<<15:31:32:108461>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:31:32:108461>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:32:108461>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:32:108461>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CCW...
<<<15:31:32:108461>>>  Tank #3 Yellow AI Tank is checking targeting info...
<<<15:31:32:108461>>>  Tank #3 Yellow AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:32:108461>>>  Tank #3 Yellow AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:32:108461>>>  Tank #3 Yellow AI Tank adjusted targeting angle one unit CW...
<<<15:31:32:124802>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:31:32:124802>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:32:124802>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:32:124802>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CCW...
<<<15:31:32:124802>>>  Tank #3 Yellow AI Tank is checking targeting info...
<<<15:31:32:124802>>>  Tank #3 Yellow AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:32:124802>>>  Tank #3 Yellow AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:32:124802>>>  Tank #3 Yellow AI Tank adjusted targeting angle one unit CW...
<<<15:31:32:140991>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:31:32:140991>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:32:140991>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:32:140991>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CCW...
<<<15:31:32:140991>>>  Tank #3 Yellow AI Tank is checking targeting info...
<<<15:31:32:140991>>>  Tank #3 Yellow AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:32:140991>>>  Tank #3 Yellow AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:32:140991>>>  Tank #3 Yellow AI Tank adjusted targeting angle one unit CW...
<<<15:31:32:156402>>>  Deleting effect pixie thawing...
<<<15:31:32:156402>>>  Deleting effect pixie thawing...
<<<15:31:32:156402>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:31:32:156402>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:32:156402>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:32:156402>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CCW...
<<<15:31:32:156402>>>  Tank #3 Yellow AI Tank is checking targeting info...
<<<15:31:32:156402>>>  Tank #3 Yellow AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:32:156402>>>  Tank #3 Yellow AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:32:156402>>>  Tank #3 Yellow AI Tank adjusted targeting angle one unit CW...
<<<15:31:32:172896>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:31:32:172896>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:32:172896>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:32:172896>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CCW...
<<<15:31:32:172896>>>  Tank #3 Yellow AI Tank is checking targeting info...
<<<15:31:32:172896>>>  Tank #3 Yellow AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:32:172896>>>  Tank #3 Yellow AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:32:172896>>>  Tank #3 Yellow AI Tank adjusted targeting angle one unit CW...
<<<15:31:32:189265>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:31:32:189265>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:32:189265>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:32:189265>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CCW...
<<<15:31:32:189265>>>  Tank #3 Yellow AI Tank is checking targeting info...
<<<15:31:32:189265>>>  Tank #3 Yellow AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:32:189265>>>  Tank #3 Yellow AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:32:189265>>>  Tank #3 Yellow AI Tank adjusted targeting angle one unit CW...
<<<15:31:32:205842>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:31:32:205842>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:32:205842>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:32:205842>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CCW...
<<<15:31:32:205842>>>  Tank #3 Yellow AI Tank is checking targeting info...
<<<15:31:32:205842>>>  Tank #3 Yellow AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:32:205842>>>  Tank #3 Yellow AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:32:205842>>>  Tank #3 Yellow AI Tank adjusted targeting angle one unit CW...
<<<15:31:32:221484>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:31:32:221484>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:32:221484>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:32:221484>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CCW...
<<<15:31:32:221484>>>  Tank #3 Yellow AI Tank is checking targeting info...
<<<15:31:32:221484>>>  Tank #3 Yellow AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:32:221484>>>  Tank #3 Yellow AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:32:221484>>>  Tank #3 Yellow AI Tank adjusted targeting angle one unit CW...
<<<15:31:32:238188>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:31:32:238188>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:32:238188>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:32:238188>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CCW...
<<<15:31:32:238188>>>  Tank #3 Yellow AI Tank is checking targeting info...
<<<15:31:32:238188>>>  Tank #3 Yellow AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:32:238188>>>  Tank #3 Yellow AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:32:238188>>>  Tank #3 Yellow AI Tank adjusted targeting angle one unit CW...
<<<15:31:32:253456>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:31:32:253456>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:32:253456>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:32:253456>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CCW...
<<<15:31:32:253456>>>  Tank #3 Yellow AI Tank is checking targeting info...
<<<15:31:32:253456>>>  Tank #3 Yellow AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:32:253456>>>  Tank #3 Yellow AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:32:253456>>>  Tank #3 Yellow AI Tank adjusted targeting angle one unit CW...
<<<15:31:32:270124>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:31:32:270124>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:32:270124>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:32:270124>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CCW...
<<<15:31:32:270124>>>  Tank #3 Yellow AI Tank is checking targeting info...
<<<15:31:32:270124>>>  Tank #3 Yellow AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:32:270124>>>  Tank #3 Yellow AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:32:270124>>>  Tank #3 Yellow AI Tank adjusted targeting angle one unit CW...
<<<15:31:32:286264>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:31:32:286264>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:32:286264>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:32:286264>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CCW...
<<<15:31:32:286264>>>  Tank #3 Yellow AI Tank is checking targeting info...
<<<15:31:32:286264>>>  Tank #3 Yellow AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:32:286264>>>  Tank #3 Yellow AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:32:286264>>>  Tank #3 Yellow AI Tank adjusted targeting angle one unit CW...
<<<15:31:32:302710>>>  Successfully removed spellready icon from Tank #1 Green Player Tank's effect list!
<<<15:31:32:302710>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:31:32:302710>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:32:302710>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:32:302710>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CCW...
<<<15:31:32:302710>>>  Tank #3 Yellow AI Tank is checking targeting info...
<<<15:31:32:302710>>>  Tank #3 Yellow AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:32:302710>>>  Tank #3 Yellow AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:32:302710>>>  Tank #3 Yellow AI Tank adjusted targeting angle one unit CW...
<<<15:31:32:318514>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:31:32:318514>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:32:318514>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:32:318514>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CCW...
<<<15:31:32:318514>>>  Tank #3 Yellow AI Tank is checking targeting info...
<<<15:31:32:318514>>>  Tank #3 Yellow AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:32:318514>>>  Tank #3 Yellow AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:32:318514>>>  Tank #3 Yellow AI Tank adjusted targeting angle one unit CW...
<<<15:31:32:335864>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:31:32:335864>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:32:335864>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
