<<<15:11:29:570398>>>
* Screen coordinates (160, 280) choosen in zone #8.
* Screen dimensions are 1600 wide by 900 high.
* Minimum (x, y) are (0, 150).
* Maximum (x, y) are (266, 750).
* Mid (x, y) are (133, 450).
<<<15:11:29:570398>>>  Image at Pix\Faraway_Objects\Quasars\2.png choosen for background...
<<<15:11:29:842563>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:11:29:842563>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:11:29:842563>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:11:29:842563>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CCW...
<<<15:11:29:858014>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:11:29:858014>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:11:29:858014>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:11:29:858014>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CCW...
<<<15:11:29:874434>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:11:29:874434>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:11:29:874434>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:11:29:874434>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CCW...
<<<15:11:29:890426>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:11:29:890426>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:11:29:890426>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:11:29:890426>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CCW...
<<<15:11:29:906430>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:11:29:906430>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:11:29:906430>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:11:29:906430>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CCW...
<<<15:11:29:923044>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:11:29:923044>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:11:29:923044>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:11:29:923044>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CCW...
<<<15:11:29:939798>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:11:29:939798>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:11:29:939798>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:11:29:939798>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CCW...
<<<15:11:29:956379>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:11:29:956379>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:11:29:956379>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:11:29:956379>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CCW...
<<<15:11:29:973440>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:11:29:974021>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:11:29:974021>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:11:29:974021>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CCW...
<<<15:11:29:990152>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:11:29:990152>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:11:29:990152>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:11:29:990152>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CCW...
<<<15:11:30:007004>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:11:30:007004>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:11:30:007004>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:11:30:007004>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CCW...
<<<15:11:30:023347>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:11:30:023347>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:11:30:023347>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:11:30:023347>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CCW...
<<<15:11:30:039083>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:11:30:039083>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:11:30:039083>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:11:30:039083>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CCW...
<<<15:11:30:056322>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:11:30:056322>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:11:30:056322>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:11:30:056322>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CCW...
<<<15:11:30:073475>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:11:30:073475>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:11:30:073475>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:11:30:073475>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CCW...
<<<15:11:30:089742>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:11:30:089742>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:11:30:089742>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:11:30:089742>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CCW...
<<<15:11:30:105273>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:11:30:105273>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:11:30:105273>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:11:30:105273>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CCW...
<<<15:11:30:121411>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:11:30:121411>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:11:30:121411>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:11:30:121411>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CCW...
<<<15:11:30:138109>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:11:30:138109>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:11:30:138109>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:11:30:138109>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CCW...
<<<15:11:30:154758>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:11:30:154758>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:11:30:154758>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:11:30:154758>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CCW...
<<<15:11:30:172655>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:11:30:172655>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:11:30:172655>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:11:30:172655>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CCW...
<<<15:11:30:188941>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:11:30:188941>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:11:30:188941>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:11:30:188941>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CCW...
<<<15:11:30:206305>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:11:30:206305>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:11:30:206305>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:11:30:206305>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CCW...
<<<15:11:30:224119>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:11:30:224119>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:11:30:224119>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:11:30:224119>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CCW...
<<<15:11:30:239004>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:11:30:239004>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:11:30:239004>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:11:30:239004>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CCW...
<<<15:11:30:256325>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:11:30:256325>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:11:30:256325>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:11:30:256325>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CCW...
<<<15:11:30:272268>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:11:30:272268>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:11:30:272268>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:11:30:272268>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CCW...
<<<15:11:30:289112>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:11:30:289112>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:11:30:289112>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:11:30:289112>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CCW...
<<<15:11:30:305829>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:11:30:305829>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:11:30:305829>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:11:30:305829>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CCW...
<<<15:11:30:322598>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:11:30:322598>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:11:30:322598>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:11:30:322598>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CCW...
<<<15:11:30:338991>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:11:30:338991>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:11:30:338991>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:11:30:338991>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CCW...
<<<15:11:30:356281>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:11:30:356281>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:11:30:356281>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:11:30:356281>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CCW...
<<<15:11:30:373047>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:11:30:373047>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:11:30:373047>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:11:30:373047>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CCW...
<<<15:11:30:389846>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:11:30:389846>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:11:30:389846>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:11:30:389846>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CCW...
<<<15:11:30:407264>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:11:30:407264>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:11:30:407264>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:11:30:407264>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CCW...
<<<15:11:30:423807>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:11:30:423807>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:11:30:423807>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:11:30:423807>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CCW...
<<<15:11:30:439680>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:11:30:439680>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:11:30:439680>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:11:30:439680>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CCW...
<<<15:11:30:455905>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:11:30:455905>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:11:30:455905>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:11:30:455905>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CCW...
<<<15:11:30:472757>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:11:30:472757>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:11:30:472757>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:11:30:472757>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CCW...
<<<15:11:30:489120>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:11:30:489120>>>  Tank #2 Red AI Tank increased launch speed one unit...
<<<15:11:30:506741>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:11:30:506741>>>  Tank #2 Red AI Tank increased launch speed one unit...
<<<15:11:30:522755>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:11:30:522755>>>  Tank #2 Red AI Tank increased launch speed one unit...
<<<15:11:30:539128>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:11:30:539128>>>  Tank #2 Red AI Tank increased launch speed one unit...
<<<15:11:30:556193>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:11:30:556193>>>  Tank #2 Red AI Tank increased launch speed one unit...
<<<15:11:30:572489>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:11:30:572489>>>  Tank #2 Red AI Tank increased launch speed one unit...
<<<15:11:30:589335>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:11:30:589335>>>  Tank #2 Red AI Tank increased launch speed one unit...
<<<15:11:30:606140>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:11:30:606140>>>  Tank #2 Red AI Tank increased launch speed one unit...
<<<15:11:30:622811>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:11:30:622811>>>  Tank #2 Red AI Tank increased launch speed one unit...
<<<15:11:30:638558>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:11:30:638558>>>  Tank #2 Red AI Tank increased launch speed one unit...
<<<15:11:30:654644>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:11:30:654644>>>  Tank #2 Red AI Tank increased launch speed one unit...
<<<15:11:30:670101>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:11:30:670101>>>  Tank #2 Red AI Tank increased launch speed one unit...
<<<15:11:30:686090>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:11:30:686090>>>  Tank #2 Red AI Tank increased launch speed one unit...
<<<15:11:30:702640>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:11:30:703644>>>  Tank #2 Red AI Tank increased launch speed one unit...
<<<15:11:30:718755>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:11:30:718755>>>  Tank #2 Red AI Tank increased launch speed one unit...
<<<15:11:30:735745>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:11:30:735745>>>  Tank #2 Red AI Tank increased launch speed one unit...
<<<15:11:30:751819>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:11:30:751819>>>  Tank #2 Red AI Tank increased launch speed one unit...
<<<15:11:30:768020>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:11:30:768020>>>  Tank #2 Red AI Tank increased launch speed one unit...
<<<15:11:30:784440>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:11:30:784440>>>  Tank #2 Red AI Tank increased launch speed one unit...
<<<15:11:30:800350>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:11:30:800350>>>  Tank #2 Red AI Tank increased launch speed one unit...
<<<15:11:30:816192>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:11:30:816192>>>  Tank #2 Red AI Tank increased launch speed one unit...
<<<15:11:30:832434>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:11:30:832434>>>  Tank #2 Red AI Tank increased launch speed one unit...
<<<15:11:30:848321>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:11:30:848321>>>  Tank #2 Red AI Tank increased launch speed one unit...
<<<15:11:30:864214>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:11:30:864214>>>  Tank #2 Red AI Tank increased launch speed one unit...
<<<15:11:30:881031>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:11:30:881031>>>  Tank #2 Red AI Tank increased launch speed one unit...
<<<15:11:30:897382>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:11:30:897382>>>  Tank #2 Red AI Tank increased launch speed one unit...
<<<15:11:30:913949>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:11:30:913949>>>  Tank #2 Red AI Tank increased launch speed one unit...
<<<15:11:30:930216>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:11:30:930216>>>  Tank #2 Red AI Tank increased launch speed one unit...
<<<15:11:30:946242>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:11:30:946242>>>  Tank #2 Red AI Tank increased launch speed one unit...
<<<15:11:30:963243>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:11:30:963243>>>  Tank #2 Red AI Tank increased launch speed one unit...
<<<15:11:30:979961>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:11:30:979961>>>  Tank #2 Red AI Tank increased launch speed one unit...
<<<15:11:30:996631>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:11:30:996631>>>  Tank #2 Red AI Tank increased launch speed one unit...
<<<15:11:31:012555>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:11:31:012555>>>  Tank #2 Red AI Tank increased launch speed one unit...
<<<15:11:31:028704>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:11:31:028704>>>  Tank #2 Red AI Tank increased launch speed one unit...
<<<15:11:31:045688>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:11:31:045688>>>  Tank #2 Red AI Tank increased launch speed one unit...
<<<15:11:31:061059>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:11:31:061059>>>  Tank #2 Red AI Tank increased launch speed one unit...
<<<15:11:31:077933>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:11:31:077933>>>  Tank #2 Red AI Tank increased launch speed one unit...
<<<15:11:31:094328>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:11:31:094328>>>  Tank #2 Red AI Tank increased launch speed one unit...
<<<15:11:31:110783>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:11:31:110783>>>  Tank #2 Red AI Tank firing solution within tolerances, not adjusting firing solution...
<<<15:11:31:110783>>>  Tank #2 Red AI Tank attempting to fire cannonball...
<<<15:11:31:127234>>>  Successfully removed spellready icon from Tank #2 Red AI Tank's effect list!
<<<15:11:31:904728>>>  Successfully removed spellbook from Tank #3 Yellow AI Tank's effect list!
<<<15:11:31:904728>>>  Tank #3 Yellow AI Tank chose to shoot...
<<<15:11:31:904728>>>  Deleting effect pixie gravity-rising...
<<<15:11:31:905713>>>  Tank #3 Yellow AI Tank is checking targeting info...
<<<15:11:31:905713>>>  Tank #3 Yellow AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:11:31:905713>>>  Tank #3 Yellow AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:11:31:905713>>>  Tank #3 Yellow AI Tank adjusted targeting angle one unit CCW...
<<<15:11:33:333774>>>  Pix at Pix\Explosions\Celestial_Explosion_04\explosion-d1.png loaded as frame for Moon #2's Explosion-7008...
<<<15:11:33:333774>>>  Pix at Pix\Explosions\Celestial_Explosion_04\explosion-d2.png loaded as frame for Moon #2's Explosion-7008...
<<<15:11:33:334769>>>  Pix at Pix\Explosions\Celestial_Explosion_04\explosion-d3.png loaded as frame for Moon #2's Explosion-7008...
<<<15:11:33:335767>>>  Pix at Pix\Explosions\Celestial_Explosion_04\explosion-d4.png loaded as frame for Moon #2's Explosion-7008...
<<<15:11:33:336761>>>  Pix at Pix\Explosions\Celestial_Explosion_04\explosion-d5.png loaded as frame for Moon #2's Explosion-7008...
<<<15:11:33:336761>>>  Pix at Pix\Explosions\Celestial_Explosion_04\explosion-d6.png loaded as frame for Moon #2's Explosion-7008...
<<<15:11:33:337763>>>  Pix at Pix\Explosions\Celestial_Explosion_04\explosion-d7.png loaded as frame for Moon #2's Explosion-7008...
<<<15:11:33:337763>>>  Pix at Pix\Explosions\Celestial_Explosion_04\explosion-d8.png loaded as frame for Moon #2's Explosion-7008...
<<<15:11:33:338754>>>  Pix at Pix\Explosions\Celestial_Explosion_04\explosion-d9.png loaded as frame for Moon #2's Explosion-7008...
<<<15:11:33:338754>>>
* CURRENT VALUES FOR CELESTIAL BODY:  Moon #2's Explosion-7008
* This is not the homeworld.
* The celestial boyd's density is 5515 kg/m^3.
* The celestial body's mass is 1000 kg.
* The Earth's mass is 5.972e+24 kg.
* The celestial body's radius is 1737.1 km.
* The celestial body's coordinates are (-5797.228343232242, -10464.418736216665).
* The celestial body's velocity is (2.1223755943155593, -7.056235853542723).
* The celestial body's speed is 7.368510201130763 km/s.
* The celestial body's acceleration is (0.001372876396553291, 0.002451913421567194).
* The celestial body's screen x and y coordinates are (718, 597).
* The celestial body's screen radius is 24.
* The celestial is using frames found at Pix\Explosions\Celestial_Explosion_04.
* The celestial has a frame at explosion-d1.png.
* The celestial has a frame at explosion-d2.png.
* The celestial has a frame at explosion-d3.png.
* The celestial has a frame at explosion-d4.png.
* The celestial has a frame at explosion-d5.png.
* The celestial has a frame at explosion-d6.png.
* The celestial has a frame at explosion-d7.png.
* The celestial has a frame at explosion-d8.png.
* The celestial has a frame at explosion-d9.png.
* The celestial is currently using a frame at explosion-d1.png.
<<<15:11:33:338754>>>
* ADDITIONAL INFORMATION FOR Moon #2's Explosion-7008:
* This cannonball is active.
* This cannonball is exploding!
* This cannonball is a celestial explosion.
<<<15:11:33:338754>>>  Moon #2 has shrunk itself...
<<<15:11:33:338754>>>
* CURRENT VALUES FOR CELESTIAL BODY:  Moon #2
* This is not the homeworld.
